Year,Semester,Branch,Subject_Code,Subject_Name,Subject_Code_Name,Unit,Keywords
2,3,CSE,TCS-308,Logic Design & Computer Organization,TCS-308 - Logic Design & Computer Organization,Unit 1,Analysis & Design Procedure | Binary 10 Adder & Subtractor | Decimal Adder | Binary Multiplier | Magnitude Comparator | Decoders | Encoders | Multiplexers | Demultiplexers
2,3,CSE,TCS-308,Logic Design & Computer Organization,TCS-308 - Logic Design & Computer Organization,Unit 2,Sequential Logic: Introduction | Types of Sequential circuits | storage 8 elements (Latch and Flip-flops) | Characteristic equations & tables | excitation table | Flip-flop conversion | Analysis and design of synchronous sequential circuits.
2,3,CSE,TCS-308,Logic Design & Computer Organization,TCS-308 - Logic Design & Computer Organization,Unit 3,Registers | Shift register | Universal shift register | Counters (Ripple & Synchronous): Introduction & Design | memory | types of memory | PLD: PAL | ROM Introduction to Computer Organization & Architecture | Von Neumann and Harvard Architecture | RISC and CISC machines | Evolution of Intel x86 and ARM architecture | measures of computer performance
2,3,CSE,TCS-308,Logic Design & Computer Organization,TCS-308 - Logic Design & Computer Organization,Unit 4,Computer Arithmetic (Integer and Floating Point): Representation | Addition | Subtraction | Multiplication and Division. Machine Instruction 10 characteristics | Addressing Modes | Processor structure and operation | Instruction Cycle | Instruction Pipelining: Strategy | performance | Hazards. Control unit operation and microprogrammed control.
2,3,CSE,TCS-308,Logic Design & Computer Organization,TCS-308 - Logic Design & Computer Organization,Unit 5,Memory hierarchy: Locality and performance | Cache memory: Principles and elements of design | Internal memory | External memory | I/O interface: External devices | I/O modules | Programmed I/O | Interrupt driven I/O | Direct Memory Access. Introduction to alternative architectures. Total
2,3,CSE,TCS 302,Data Structures with C,TCS 302 - Data Structures with C,Unit 1,Introduction: Basic Terminology | Pointer and dynamic memory allocation | 10 Elementary Data Organization | Data Structure operations | Algorithm Complexity and Time-Space trade-off Arrays: Array Definition | Representation and Analysis | Single and Multidimensional Arrays | address calculation | application of arrays | Array as Parameters | Ordered List | Sparse Matrices. Stacks:Array. Representation and Implementation of stack
2,3,CSE,TCS 302,Data Structures with C,TCS 302 - Data Structures with C,Unit 2,Queues: Array and linked representation and implementation of queues | Operations on Queue: Create | Delete | Full and Empty. Circular queue | Dequeue | Two- 10 way Header List | Traversing and Searching of Linked List | Overflow and Underflow | Insertion and deletion to/from Linked Lists | Insertion and deletion Algorithms | Doubly linked list | Linked List in Array
2,3,CSE,TCS 302,Data Structures with C,TCS 302 - Data Structures with C,Unit 3,Trees: Basic terminology | Binary Trees | Binary tree representation | algebraic Expressions | Complete Binary Tree. Extended Binary Trees | Array and Linked Representation of Binary trees | Traversing Binary trees | Threaded Binary trees. Traversing Threaded Binary trees | Huffman algorithm & Huffman tree. Searching and Hashing: Sequential search | binary search | comparison and analysis | Hash Table
2,3,CSE,TCS 302,Data Structures with C,TCS 302 - Data Structures with C,Unit 4,Sorting: Insertion Sort | Bubble Sorting | Quick Sort | Two Way Merge Sort | Heap Sort | Sorting on Different Keys | Insertion and Deletion in BST | Complexity of Search Algorithm | Path Length | AVL Trees
2,3,CSE,TCS 302,Data Structures with C,TCS 302 - Data Structures with C,Unit 5,File Structures: Physical Storage Media File Organization | Organization of records into Blocks | Sequential Files | Indexing and Hashing | Primary indices | 8 Secondary indices | B+ Tree index Files | B Tree index Files | Indexing and Hashing Comparisons | Graph | Traversal(DFS | BFS)
2,3,CSE,TCS 351,Fundamental of Cloud Computing and Big Data,TCS 351 - Fundamental of Cloud Computing and Big Data,Unit 1,Cloud Computing | Vision | History | Evolution | Characteristics of Cloud Computing (NIST) | Characteristic | Advantages and Disadvantages of Cloud Contact Hours Computing | Cloud computing vs. Cluster computing vs. Grid computing | Importance of Open Standards for digital age technologies.
2,3,CSE,TCS 351,Fundamental of Cloud Computing and Big Data,TCS 351 - Fundamental of Cloud Computing and Big Data,Unit 2,Working of Cloud Computing | Impact of Networks | Private cloud | Hybrid cloud | Community cloud.
2,3,CSE,TCS 351,Fundamental of Cloud Computing and Big Data,TCS 351 - Fundamental of Cloud Computing and Big Data,Unit 3,Cloud Service Models: Infrastructure as a Service (IaaS) | Platform as a Service (PaaS) | Virtualization | Hypervisors | Machine Image | Virtual Machine (VM) | Resource Virtualization | Server | Storage | Networking | Virtual Machine (resource) provisioning and manageability | Data centre physical plant/building
2,3,CSE,TCS 351,Fundamental of Cloud Computing and Big Data,TCS 351 - Fundamental of Cloud Computing and Big Data,Unit 4,Big Data | Characteristics | Architectures | Technologies | Applications | Advantages and Disadvantages of Big Data | Tools and Techniques applied in Big Data: Association rule learning | Classification tree analysis | Genetic algorithms | Machine learning | Regression analysis | Sentiment analysis
2,3,CSE,TCS 351,Fundamental of Cloud Computing and Big Data,TCS 351 - Fundamental of Cloud Computing and Big Data,Unit 5,Foundations Services of AWS: Savings | Security | Compliance and DRaaS Development Operations. AWS Services: Amazon Lambda | Amazon Relational Database Service (Amazon RDS) | Amazon S3 | Amazon CloudFront | Amazon Glacier | General Cloud Computing Risks | (Performance | Network Dependence | Reliability | Outages
2,3,CSE,TCS 392,Introduction to Cryptography,TCS 392 - Introduction to Cryptography,Unit 4,Public-Key Cryptography: Public-Key Encryption Structure | Applications for Public-Key Cryptosystems | Requirements for Public-Key Cryptography | Authentication Using Conventional Encryption | Message Authentication without Message Encryption | MD5 Hash Algorithm.
2,3,CSE,TCS 392,Introduction to Cryptography,TCS 392 - Introduction to Cryptography,Unit 5,System Security: Intruders | Intrusion Detection | Password Management | Types of Malicious Software | Viruses | Virus Countermeasures | Intellectual Property | Privacy | Ethical Issues. Total
2,3,CSE,TCS- 341,Python Programming for Computing,TCS- 341 - Python Programming for Computing,Unit 1,Introduction: Introduction to Python: Importance of Python | Installing and working with Python in Windows | Linux and Mac | Using Python as calculator | Comments | how to define main function in Python. The concept of data types - Variables | Arithmetic Operators and Expressions String manipulations - Subscript Operator | Indexing | slicing a string | Converting strings to numbers and vice versa | split function. Control flow - if statements | and while loops
2,3,CSE,TCS- 341,Python Programming for Computing,TCS- 341 - Python Programming for Computing,Unit 2,Data Structures: Lists - Basic list operations | Replacing | inserting | removing an element | Searching and sorting a list | Methods of list objects | using lists as Stacks and Queues | List | nested list Comprehensions. Tuple | Sets | Difference between list and tuple Dictionary - adding and removing keys | accessing
2,3,CSE,TCS- 341,Python Programming for Computing,TCS- 341 - Python Programming for Computing,Unit 3,File and Exception Handling in Python Reading config files in python | Writing log files in python | Understanding read functions | read () | readline() and readlines() | Understanding write functions | write() and writelines() | Manipulating file pointer using seek | Programming using file 11 operations Exception Handling - Exceptions | why use exceptions | raising an exception | try and except
2,3,CSE,TCS- 341,Python Programming for Computing,TCS- 341 - Python Programming for Computing,Unit 4,Regular Expressions and Python Packages Regular Expressions - re module | searching a string (match and search) | Finding a string (findall) | Break string into substrings (split) | NumPy | Pandas
2,3,CSE,TCS- 341,Python Programming for Computing,TCS- 341 - Python Programming for Computing,Unit 5,defining python functions | calling a function | function arguments | Lambda | map function | Importing python module. Classes and OOP - Class definition syntax | objects | class | instance variables | Inheritance and multiple inheritance | Polymorphism | Overloading
2,3,CSE,TCS 332,Fundamental of Information Security and Blockchain,TCS 332 - Fundamental of Information Security and Blockchain,Unit 4,blockchain- Overview of blockchain | structure of a block | block header | block identifiers: block header hash and block height | genesis block | linking of blocks | merkle trees | use of merkle root in payment verification
2,3,CSE,TCS 332,Fundamental of Information Security and Blockchain,TCS 332 - Fundamental of Information Security and Blockchain,Unit 5,Blockchain mechanisms: Details of distributed ledger | smart contracts | bitcoins networks | mining process | consensus algorithms | proof of work | proof of stake | proof of weight | proof of capacity. Total
2,3,CSE,TCS 344,Probability and Random Processes,TCS 344 - Probability and Random Processes,Unit 1,Poisson | Geometric | Uniform | Exponential and Normal distributions.
2,3,CSE,TCS 344,Probability and Random Processes,TCS 344 - Probability and Random Processes,Unit 2,random variables|discrete random variable|continuous random variable|probability mass function|probability density function|cumulative distribution function|expectation|mean and variance|standard deviation|moments|uniform distribution|normal distribution|exponential distribution|binomial distribution|poisson distribution|joint distribution|marginal distribution|conditional probability|independence of events|bayes theorem
2,3,CSE,TCS 344,Probability and Random Processes,TCS 344 - Probability and Random Processes,Unit 3,joint random variables|joint probability density function|marginal density function|conditional density function|independent random variables|covariance|correlation coefficient|expectation of functions|transformation of random variables|sum of random variables|central limit theorem|law of large numbers|order statistics|random vector|multivariate distribution|gaussian distribution|bivariate distribution|statistical independence
2,3,CSE,TCS 344,Probability and Random Processes,TCS 344 - Probability and Random Processes,Unit 4,stochastic processes|random process|classification of stochastic processes|stationary process|strict sense stationarity|wide sense stationarity|autocorrelation function|cross correlation|ergodicity|gaussian process|poisson process|markov process|markov chain|transition probability|state space|time average|ensemble average|discrete time process|continuous time process
2,3,CSE,TCS 344,Probability and Random Processes,TCS 344 - Probability and Random Processes,Unit 5,random signals|noise models|white noise|gaussian noise|power spectral density|energy spectral density|fourier transform of random signals|linear systems with random input|signal to noise ratio|filtering of random signals|wiener filter|matched filter|correlation receiver|sampling theorem|bandwidth|communication systems basics|noise in communication systems
2,4,CSE,TCS 409,Design and Analysis of Algorithms,TCS 409 - Design and Analysis of Algorithms,Unit 1,Rate of growth | Commonly used rate of growths | Types of analysis | Asymptotic Notations | Master theorem Contact Hours Searching - Linear search (sorted and unsorted) | Iterative and recursive binary search | Tower of Hanoi and solving its recursion | Fibonacci and solving its recursion
2,4,CSE,TCS 409,Design and Analysis of Algorithms,TCS 409 - Design and Analysis of Algorithms,Unit 2,Sorting Algorithms Sorting - Bubble sort | Insertion sort | selection sort | quick sort | randomized quick sort | merge sort | heap sort | counting sort | External sorting Divide sorting algorithms into following types - online sort | stable sort | place sort | Comparison of sorting algorithms on the basis of number of swaps
2,4,CSE,TCS 409,Design and Analysis of Algorithms,TCS 409 - Design and Analysis of Algorithms,Unit 3,Graph Algorithms Representation of Graphs | Breadth-first search (BFS) | depth-first search (DFS) | topological sort
2,4,CSE,TCS 409,Design and Analysis of Algorithms,TCS 409 - Design and Analysis of Algorithms,Unit 4,Job sequencing problem | Huffman codes | Optimal substructure property | Tabulation vs Memoization | Fibonacci numbers | 0/1 Knapsack problem | Longest common subsequence | Matrix chain multiplication
2,4,CSE,TCS 409,Design and Analysis of Algorithms,TCS 409 - Design and Analysis of Algorithms,Unit 5,Hashing | Hash function | Collision and collision handling | Collision handling - Chaining | Open addressing String Matching - Naive string-matching algorithm | Rabin-Karp algorithm | Knuth-Morris-Pratt algorithm NP-Completeness - Importance of NP-completeness | NP Complete and NP hard problems | Polynomial time and polynomial time verification | subset-sum problem | traveling salesman problem Total
2,4,CSE,TCS 471,Statistical Data Analysis with R,TCS 471 - Statistical Data Analysis with R,Unit 1,Statistics: Introduction StatisticsDescriptive Statistics | Summary Statistics | probability theory | Statistical Concepts (uni-variate and bi-variate sampling | distributions | re-sampling | statistical Inference | prediction error)
2,4,CSE,TCS 471,Statistical Data Analysis with R,TCS 471 - Statistical Data Analysis with R,Unit 2,Probability Distribution: Introduction to Probability | Probability Distribution (Continuous and discrete- Normal | Bernoulli | Binomial | Negative Binomial | Geometric and Poisson distribution) | Bayes Theorem | Central Limit theorem | Data Exploration & preparation | Concepts of Correlation | Regression | Covariance
2,4,CSE,TCS 471,Statistical Data Analysis with R,TCS 471 - Statistical Data Analysis with R,Unit 3,R and Data Preprocessing: Introduction & Installation of R | R Basics | Finding Help | Code Editors for R | Command Packages | Manipulating and Processing Data in R | Reading and Getting Data into R | Exporting Data from
2,4,CSE,TCS 471,Statistical Data Analysis with R,TCS 471 - Statistical Data Analysis with R,Unit 4,Data Objects-Data Types & Data Structure. Viewing Named Objects | Structure of Data Items | Manipulating and Processing Data in R (Creating | Accessing | Sorting data frames | Extracting | Combining | Merging | reshaping data frames) | Control Structures
2,4,CSE,TCS 471,Statistical Data Analysis with R,TCS 471 - Statistical Data Analysis with R,Unit 5,Functions in R (numeric | character | statistical) | working with objects | Viewing Objects within Objects | Constructing Data Objects | Building R Packages | Running and Manipulating Packages | Non parametric Tests- ANOVA | chi-Square | t-Test | U-Test
2,4,CSE,TCS 492,Fundamental of Cyber Security,TCS 492 - Fundamental of Cyber Security,Unit 1,Cyber Security What is Cyber security | Why we need Cyber security | Zero Trust Model | Ethical Hacking Protect Against - Unauthorised Modification | Availability and Integrity Steps to fix a crime - Identify Cyber Threats | Analyse and Evaluate Threat | Treatment Type of Hackers - White Hat | Great Hat | Black Hat Penetration Testing and its Phases - Reconnaissance | Scanning | Gaining Access | Maintaining Access
2,4,CSE,TCS 492,Fundamental of Cyber Security,TCS 492 - Fundamental of Cyber Security,Unit 2,Linux Basics and Scripting for Ethical Hacking Contact Hours Bash | Linux commands | man page | Adding and deleting | users and adding them to sudo group | switching users | creating | copying | moving and removing file | Writing and appending text to a file | File permissions | working with editors
2,4,CSE,TCS 492,Fundamental of Cyber Security,TCS 492 - Fundamental of Cyber Security,Unit 3,Configuration of network - NAT | Bridged and Host only | Dual boot system TCP/IP - IPv4 and IPv6 | IP Address | Mac Address | Subnets | TCP 3-way handshake | DNS Communication between VMs or Setting up network between machines | netcat - The Swiss Army Knife of TCP/IP Connections | use netcat to Listen on a port | pushing a command shell back to listener | transfer files
2,4,CSE,TCS 492,Fundamental of Cyber Security,TCS 492 - Fundamental of Cyber Security,Unit 4,Input validation | Cross site scripting (XSS) attack Introduction to PHP and SQL - Basics of PHP | Phishing | Spear Phishing | Sql Injection Attack
2,4,CSE,TCS 492,Fundamental of Cyber Security,TCS 492 - Fundamental of Cyber Security,Unit 5,Cyber Threats and System Hacking Cyber Threats - Malware | password attacks | Distributed denial-of-service (DDos) | Ransomware attack | Eavesdropping attack (man in the middle attack) | Birthday attack | buffer overflow attack | IP and Mac address spoofing | Steganography | Anonymous browsing | tor browser | Secure Sockets Layer (SSL)
2,4,CSE,TCS 462,Introduction to Big Data,TCS 462 - Introduction to Big Data,Unit 1,Big Data and its Challenges Defining Big Data | Characteristics of Big Data | Evolution of Big Data | Traditional Business Intelligence vs Big Data | Evolution of Data Management | Understanding the Waves of Managing Data | creating manageable data structures | Web and content management | Managing big data. Building a Successful Big Data Management Architecture | beginning with capture | organize | integrate
2,4,CSE,TCS 462,Introduction to Big Data,TCS 462 - Introduction to Big Data,Unit 2,exploring sources of unstructured data | Putting Big Data Together | managing different Contact Hours data types | integrating data types into a big data environment.
2,4,CSE,TCS 462,Introduction to Big Data,TCS 462 - Introduction to Big Data,Unit 3,Managing hardware: Storage and servers | Infrastructure operations - Layer 1: Security Infrastructure | Big Data Analytics | Big Data Applications.
2,4,CSE,TCS 462,Introduction to Big Data,TCS 462 - Introduction to Big Data,Unit 4,NoSQL and NewSQL Introduction to NoSQL | Uses | Features and Types | Need | Advantages | Disadvantages and Application of NoSQL | CouchDB . Columnar Databases | HBase columnar database. Graph Databases- Neo4J graph database.
2,4,CSE,TCS 462,Introduction to Big Data,TCS 462 - Introduction to Big Data,Unit 5,Big Data Analytics Basic analytics | Advanced analytics | Operationalized analytics | Studying Big Data Analytics Examples | Terminologies used in Big Data environment. Total
2,4,CSE,TCS 493,Introduction to cryptography,TCS 493 - Introduction to cryptography,Unit 1,Basics of cryptography What is cryptography | what is confidentiality | data integrity | authentication | nonrepudiation | applications of cryptography - chip based payment cards | digital currencies | computer passwords | digital communications | plaintext | cipher-text | cipher - characteristics of a good cipher
2,4,CSE,TCS 493,Introduction to cryptography,TCS 493 - Introduction to cryptography,Unit 2,Mathematics for cryptography Concept of divisibility | prime numbers | importance of prime numbers in cryptography | euclid theorem for GCD | extended euclidean algorithm | modular arithmetic | random number generators | deterministic and nondeterministic random number generators | bit shifts | euler's totient theorem | chinese remainder theorem
2,4,CSE,TCS 493,Introduction to cryptography,TCS 493 - Introduction to cryptography,Unit 3,additive and multiplicative ciphers | rail fence technique | playfair cipher | hill cipher | vernam cipher | Vigen̬re Cipher | RC4 algorithm | 2DES | 2-3DES | 3DES | block cipher modes of op
2,4,CSE,TCS 493,Introduction to cryptography,TCS 493 - Introduction to cryptography,Unit 4,Asymmetric key cryptosystem RSA | Diffie Hellman key exchange protocol | Elliptic curve cryptography (ECC) | ElGamal encryption system
2,4,CSE,TCS 493,Introduction to cryptography,TCS 493 - Introduction to cryptography,Unit 5,Digital signature and message integrity mechanisms DSS algorithm | RSADS algorithm | ECDSA algorithm | Message integrity | hash functions | MAC functions | HMAC | secure electronic transaction | use of ECDSA in blockchain implementation TOTAL
2,4,CSE,TCS 426,Information Security and Risk Management,TCS 426 - Information Security and Risk Management,Unit 1,information security|cybersecurity fundamentals|security goals|CIA triad|confidentiality|integrity|availability|threats and vulnerabilities|risk management|risk assessment|risk analysis|risk mitigation|attack types|malware|phishing|social engineering|network security basics|authentication|authorization|access control|security policies|security models|encryption basics|data protection|security awareness
2,4,CSE,TCS 426,Information Security and Risk Management,TCS 426 - Information Security and Risk Management,Unit 2,Risk management and analysis Overview of risk management | risk identification | identifying the assets | threats and vulnerabilities | risk control strategies | selection of a risk control strategy | planning for risk analysis | performing risk analysis and assessment
2,4,CSE,TCS 426,Information Security and Risk Management,TCS 426 - Information Security and Risk Management,Unit 3,Information security planning and implementations Information security policy | standards and practices | information security blueprint | security education | training and awareness program | project management for information security | technical topics of implementation | nontechnical aspects of implementation
2,4,CSE,TCS 426,Information Security and Risk Management,TCS 426 - Information Security and Risk Management,Unit 4,Disaster recovery and risk monitoring What is disaster in information security | disaster recovery planning | disaster recovery plan | risk monitoring | requirement of risk monitoring | various phases of risk monitoring
2,4,CSE,TCS 426,Information Security and Risk Management,TCS 426 - Information Security and Risk Management,Unit 5,Vulnerabilities and security assessment What is vulnerability | sources of vulnerabilities | vulnerability assessment | system security policy | building a security policy | security requirement specification | threat identification | threat models (Dolev Yao model and CK adversary model) | threat analysis | vulnerability identification and assessment | security certification | security monitoring and auditing TOTAL
3,5,CSE,TCS 501,System Software,TCS 501 - System Software,Unit 1,Machine Architecture: Introduction | System Software and its relation to Machine Architecture | Simplified Instructional Computer (SIC) | Architecture of SIC Machine | SIC Programming Examples
3,5,CSE,TCS 501,System Software,TCS 501 - System Software,Unit 2,Assemblers: Basic Assembler Functions | Simple SIC Assembler | Algorithm and Data Structures for Assemblers | Machine Dependent Assembler Features Instruction Formats & Addressing Modes | Symbol-Definition Statements | Expression | Program Blocks | Control Sections and Programming Linking | Assembler Design Operations - One-Pass Assembler | Multi-Pass Assembler
3,5,CSE,TCS 501,System Software,TCS 501 - System Software,Unit 3,Loaders and Linkers: Basic Loader Functions - Design of an Absolute Loader | Simple Bootstrap Loader | Machine-Dependent Loader Features  Relocation | Program Linking | Algorithm and Data Structures for a Linking Loader | MachineIndependent Loader Features - Automatic Library Search | Loader Options | Loader Design Options - Linkage Editor | Dynamic Linkage | User Interface | Editor Structure | Interactive Debugging Systems - Debugging Functions and Capabilities
3,5,CSE,TCS 501,System Software,TCS 501 - System Software,Unit 4,Macro Processor Algorithm and Data Structures | Generation of Unique Labels | Conditional Macro Expansion | Keyword Macro Parameters | Macro Processor Design Options | General-Purpose Macro Processors | Macro Processing Within Language Translators
3,5,CSE,TCS 501,System Software,TCS 501 - System Software,Unit 5,Lex and Yacc :Lex and Yacc - The Simplest Lex Program | Recognizing Words With LEX | Symbol Tables | Grammars | Parser-Lexer Communication | Parts of Speech Lexer | YACC Parser | Rules Section | Running LEX and YACC | LEX and Hand- Written Lexers | Using LEX - Regular Expression | Examples of Regular Expressions
3,5,CSE,TCS 571,Big Data Visualization,TCS 571 - Big Data Visualization,Unit 1,Techniques for visual data representations: Data Visualization | Information Visualization | Concept Visualization | Strategic Visualization | Metaphor Visualization | Compound Visualization. Visualization design objectives: Methodology | Establishing intent | visualization's function-explain | explore | exhibit | Tone-analytical and abstract | key factors in a visualization project
3,5,CSE,TCS 571,Big Data Visualization,TCS 571 - Big Data Visualization,Unit 2,Demonstrating Editorial Focus: Importance of editorial focus | Preparing and familiarizing of data | Refining the editorial focus | Refining | physical properties of data | degree of accuracy in interpretation | creating an appropriate design metaphor | choosing the final solution | Visualization anatomyData presentation: Interactivity | Annotation | Arrangement
3,5,CSE,TCS 571,Big Data Visualization,TCS 571 - Big Data Visualization,Unit 3,Taxonomy of Data Visualization: Choosing appropriate chart type: Dot plot | Column chart | Floating bar | pixelated bar chart | Histogram | Slopegraph | Radial chart | Glyph chart | Sankey diagram | Area size chart | Assessing hierarchies and part-to-whole relationships: Pie chart | Stacked bar chart
3,5,CSE,TCS 571,Big Data Visualization,TCS 571 - Big Data Visualization,Unit 4,Tools for data visualization: Tableau | Google Charts | Datawrapper | Chartio | IBM Watson Analytics | Sisense
3,5,CSE,TCS 571,Big Data Visualization,TCS 571 - Big Data Visualization,Unit 5,Data Visualization through Tableau: Tableau basics | connecting Tableau to various datasets | creating bar charts | area charts | maps | scatterplots | pie charts | tree maps | Create Interactive Dashboards | storylines | Joins | Data Blending
3,5,CSE,TCS 509,Machine Learning,TCS 509 - Machine Learning,Unit 1,Machine learning foundation Review of logic and knowledge system - language | axiom | hypothesis | theorem | logic & types | what is ML | Inductive bias in ML | AI pyramid | Pattern classification pipeline | Linear algebra in ML | Probabilistic logic and statistical inference (Random expt./ variable | WLLN
3,5,CSE,TCS 509,Machine Learning,TCS 509 - Machine Learning,Unit 2,Unsupervised Learning Clustering | Clustering methods  Partition vs. Hierarchical | k-Means and kMedoids | Hierarchical: Agglomerative & Divisive | Error Analysis in Clustering | Ensemble - clustering | Case study: Clustering in Health care | Causal cluster | Graph cluster Contact Hours
3,5,CSE,TCS 509,Machine Learning,TCS 509 - Machine Learning,Unit 3,Supervised Learning Main objectives and types of Supervised methods (Parametric | Semi parametric | Non-parametric) | Linear Regression and Weiner filter | Grammar based/ Inductive learning - Decision Trees  CART | ID-3 | Pruning metrics for tree | Dtree examples | Linear SVM (basics and V-C bound) | k-NN rule and examples | Learning as Factorization | Ensemble learning: Bagging
3,5,CSE,TCS 509,Machine Learning,TCS 509 - Machine Learning,Unit 4,Critic | Environment) | Optimal policy & Q  values | Bellman equation | Case studies on R Learning Active learning | Deep Reinforcement | Transfer learning with examples | Federated Machine Learning with examples.
3,5,CSE,TCS 509,Machine Learning,TCS 509 - Machine Learning,Unit 5,Special topics in Machine Learning Sentiment Mining: NLP pipeline process | Data Analytics  Big data and Hadoop model | Business Analytics  Competitive Machine Learning | ANN building blocks (problem solving) | Deep learning | Feed forward | Backpropagation | Recurrent-NN. Total
3,5,CSE,TCS 562,Data Science,TCS 562 - Data Science,Unit 1,Data Science History | Data Science and Related Terminologies | Types of Analytics | Applications of Data Science | Data Science Process Models. Introduction to AI | History and Foundation of AI | Intelligence | its type | Categorization of Artificial Intelligent based System | Agents & Environments | Applications | Current trends in AI
3,5,CSE,TCS 562,Data Science,TCS 562 - Data Science,Unit 2,Data | Types | Data Preprocessing | Understanding Data Requirements | Dealing with Erroneous/Missing Values | Contact Hours Standardizing Data | Syntax and Semantics | Forward Chaining | Backward Chaining | Knowledge Engineering | Belief Network
3,5,CSE,TCS 562,Data Science,TCS 562 - Data Science,Unit 3,Modelling Techniques | Supervised Learning Algorithms- Regression | Classification | Unsupervised Learning Algorithms- Clustering | Association Rule Mining Feature Selection | Dimensionality Reduction | Independent and Dependent Variables | Relationship between Variables: Correlation | Multicollinearity | Factor Analysis | Treatment of Outliers
3,5,CSE,TCS 562,Data Science,TCS 562 - Data Science,Unit 4,Problem Solving Agent | Formulating Problems | Example Problems | Uninformed Search Methods | Informed Search Method | Local Search Methods | Genetic algorithms | Adversarial Search
3,5,CSE,TCS 562,Data Science,TCS 562 - Data Science,Unit 5,Applications of Analytics in Healthcare | Applications of Analytics in Agriculture | Applications of Analytics in Business | Applications of Analytics in Sports | Forms of Learning | Expert Systems | Expert System Architecture | Capstone Project Total
3,5,CSE,TCS-549,Data Science: Visualization with Tableau Specialization,TCS-549 - Data Science: Visualization with Tableau Specialization,Unit 1,Context of Data Visualization: Visualization as a discovery tool | Bedrock of visualization as a discovery tool | Visualizing the past | Different Data Visuals for Different Needs | 20th Century advancements | Computer-based Visualization | Power of Human Perception | Different Data Calls for Different Views | Leveraging Composition and Interactivity | Establishing intent | visualization's function-explain | explore
3,5,CSE,TCS-549,Data Science: Visualization with Tableau Specialization,TCS-549 - Data Science: Visualization with Tableau Specialization,Unit 2,Demonstrating Editorial Focus: Importance of editorial focus | Preparing and familiarizing of data | Refining the editorial focus | Using visual analysis to find stories Conceiving and Reasoning: Preparing data | Refining | physical properties of data | degree of accuracy in interpretation | creating an appropriate design metaphor | choosing the final solution | Visualization anatomy- Data presentation: Interactivity | Annotation and Arrangement
3,5,CSE,TCS-549,Data Science: Visualization with Tableau Specialization,TCS-549 - Data Science: Visualization with Tableau Specialization,Unit 3,Taxonomy of Data Visualization: Choosing appropriate chart type: Dot plot | Column chart | Floating bar(Gantt chart) | pixelated bar chart | Histogram | Slopegraph | Radial chart | Glyph chart | Sankey diagram | Area size chart | Assessing hierarchies and part-to-whole relationships: Pie chart | Stacked bar chart
